From	To
O15118	ENSG00000141458
B7ZAP0	ENSG00000152061
Q9NX76	ENSG00000091317
P55107	ENSG00000266524
H0YJS4	ENSG00000134001
O15085-2	ENSG00000132694
Q8TE67	ENSG00000198758
C9JTM8	ENSG00000172530
P06241-2	ENSG00000010810
Q9H503-2	ENSG00000125888
Q12791	ENSG00000156113
Q5T6J7	ENSG00000148057
Q8N819	ENSG00000213889
Q8TF71	ENSG00000112394
V9GYJ0	ENSG00000141258
K7EL17	ENSG00000141480
Q7LGC8	ENSG00000122863
Q9BRA0	ENSG00000183011
O14490-2	ENSG00000170579
Q9NZI2	ENSG00000182132
Q7L4S7	ENSG00000198960
Q16795	ENSG00000139180
Q8N323	ENSG00000095110
P55795	ENSG00000126945
Q9Y3Q7-2	ENSG00000168619
Q5JUD3	ENSG00000088387
Q9ULK4	ENSG00000112282
Q96HW7-4	ENSG00000149262
A0A075B6K0	ENSG00000211665
B7Z2U2	ENSG00000175662
Q9H857	ENSG00000168268
Q9GZU8	ENSG00000172775
Q9NWQ8	ENSG00000076641
Q8N6T3	ENSG00000101199
O96015	ENSG00000100246
Q96FE5	ENSG00000169783
P35499	ENSG00000007314
Q96KS9	ENSG00000154319
A0AVT1	ENSG00000033178
Q96S06	ENSG00000103227
Q96L73	ENSG00000165671
Q9HA92	ENSG00000136444
Q9BTN0	ENSG00000126243
Q9H488	ENSG00000101346
Q9NUR3	ENSG00000125895
O75694	ENSG00000113569
Q8TAD7	ENSG00000235162
Q86UA1	ENSG00000185246
K7EQT3	ENSG00000176014
O00592	ENSG00000128567
Q86YV0	ENSG00000105122
Q8N4L8	ENSG00000159214
P29084	ENSG00000197265
P29692-2	ENSG00000104529
Q9BUB5	ENSG00000079277
O15394	ENSG00000154654
Q8N131	ENSG00000152558
Q8IV53	ENSG00000205744
D6R9Q9	ENSG00000113758
Q6N022	ENSG00000149256
A6NL88	ENSG00000187902
F6WML8	ENSG00000228760
P39059	ENSG00000204291
P15088	ENSG00000163751
O60333	ENSG00000054523
Q5JUX0	ENSG00000204271
Q5VW32	ENSG00000162819
Q14116	ENSG00000150782
Q9H902	ENSG00000068615
Q96PP9	ENSG00000162654
Q12974-4	ENSG00000184007
Q6URK8	ENSG00000159648
Q5T890	ENSG00000182150
Q9UPT6	ENSG00000138834
Q8WU17	ENSG00000170881
Q9UGV2	ENSG00000101079
P55210-3	ENSG00000165806
Q9Y2S2	ENSG00000165475
Q9GZN8	ENSG00000101220
A0A087WZ52	ENSG00000183248
O75908	ENSG00000167780
Q5T7Y6	ENSG00000160678
P55042	ENSG00000166592
Q14197	ENSG00000167862
Q7L8C5	ENSG00000019505
O60285	ENSG00000074590
Q13621	ENSG00000074803
Q8NAN2	ENSG00000180488
H0YA78	ENSG00000170464
H0YCT1	ENSG00000110713
Q7Z2K8	ENSG00000169258
M0QZV9	ENSG00000167483
A0A075B762	ENSG00000271425
P51858	ENSG00000143321
Q9HAY2	ENSG00000177383
Q93050	ENSG00000033627
O94762	ENSG00000108469
B0QYY7	ENSG00000100320
Q7Z417	ENSG00000108256
P00338-3	ENSG00000134333
O94888	ENSG00000163960
Q9UJJ9	ENSG00000090581
Q9BVC6	ENSG00000110108
P42696	ENSG00000188739
P08253	ENSG00000087245
P04150	ENSG00000113580
Q6PUV4	ENSG00000145920
H0Y476	ENSG00000182389
Q9UKY4	ENSG00000009830
Q96PV4	ENSG00000198883
Q9BRK3	ENSG00000162576
P13196	ENSG00000023330
P40925-3	ENSG00000014641
P40189	ENSG00000134352
P42224	ENSG00000115415
Q9BXT2	ENSG00000130433
Q9UPN3	ENSG00000127603
Q96IU4	ENSG00000114779
Q13111	ENSG00000167670
P39019	ENSG00000105372
Q99558	ENSG00000006062
Q9ULE3	ENSG00000146966
Q9NR61	ENSG00000128917
Q9Y4Z0	ENSG00000130520
Q9NS56	ENSG00000197579
Q9H201	ENSG00000049283
J3KNH0	ENSG00000174206
Q6DWJ6	ENSG00000180269
F8VQE7	ENSG00000050426
Q13490	ENSG00000110330
Q86XM0	ENSG00000174898
Q8TCG2	ENSG00000038210
O75477	ENSG00000107566
Q9H3Z4	ENSG00000101152
Q9Y3D5	ENSG00000163319
Q8TEJ3	ENSG00000172985
O43567	ENSG00000082996
A0A087WWD6	ENSG00000196090
Q9H5U6	ENSG00000168228
Q9Y223	ENSG00000159921
P01210	ENSG00000181195
Q8N6Q3	ENSG00000204936
H0YDM0	ENSG00000166387
Q7RTR2	ENSG00000167984
Q9NW64	ENSG00000086589
Q92526-2	ENSG00000132141
O76054	ENSG00000100003
C9JAJ6	ENSG00000124508
Q13426	ENSG00000152422
Q7Z2Z2	ENSG00000140598
Q5SQN1	ENSG00000143740
P20851	ENSG00000123843
Q969Q0	ENSG00000165502
Q5VY80	ENSG00000155918
P61916	ENSG00000119655
Q8NFH3	ENSG00000120253
Q6P9A2	ENSG00000110328
P12018	ENSG00000169575
Q13043-2	ENSG00000101109
Q8WXE9	ENSG00000140022
Q9BW04	ENSG00000182795
O43680	ENSG00000118526
Q96PF2	ENSG00000206203
Q9P1Q0	ENSG00000143952
S4R3E7	ENSG00000076685
Q53R41	ENSG00000138399
Q8IWF6	ENSG00000174839
P22304	ENSG00000010404
H3BRQ0	ENSG00000138621
P08559	ENSG00000131828
P29508	ENSG00000057149
Q9UEE9	ENSG00000153774
Q9NQ84	ENSG00000170412
Q9BZQ6	ENSG00000116406
Q9UPS6	ENSG00000139718
P68104	ENSG00000156508
Q7L211	ENSG00000139826
Q15526	ENSG00000148290
Q6PID6	ENSG00000113638
Q8N608	ENSG00000175497
E9PES4	ENSG00000131437
Q9BT09	ENSG00000137161
Q96B02	ENSG00000104343
Q9BQP9	ENSG00000131059
P39023	ENSG00000100316
Q63HR2	ENSG00000111077
U3KQK5	ENSG00000256100
Q99704	ENSG00000115325
P30044	ENSG00000126432
Q49A17	ENSG00000174473
J9JIF5	ENSG00000168772
P53680	ENSG00000042753
Q9HCG7	ENSG00000070610
O14494	ENSG00000067113
O75023	ENSG00000105609
O95251	ENSG00000136504
Q9H2A2	ENSG00000118514
Q96QU8	ENSG00000169180
Q9H6D7	ENSG00000092036
Q6PL18	ENSG00000156802
Q8N1G4	ENSG00000130764
P05155	ENSG00000149131
Q8TAK6	ENSG00000184221
P42262	ENSG00000120251
Q8IWF9	ENSG00000150676
E9PPZ5	ENSG00000172247
B4DK47	ENSG00000145979
F8W946	ENSG00000106701
Q86TB9	ENSG00000166889
Q8WUM0	ENSG00000069248
F5H3Z9	ENSG00000126746
Q717R9	ENSG00000205795
P28482	ENSG00000100030
P18827	ENSG00000115884
H0Y5B0	ENSG00000079819
Q8TF50	ENSG00000167625
E5RGZ0	ENSG00000104490
P41214	ENSG00000143486
P20936	ENSG00000145715
K7ELE3	ENSG00000104964
Q96RD7	ENSG00000110218
Q16850	ENSG00000001630
O95801	ENSG00000243725
Q53HC9	ENSG00000032389
Q9UKZ9	ENSG00000163710
P51449	ENSG00000143365
Q8TF74	ENSG00000171475
Q9H3E2	ENSG00000109762
Q9BTT4	ENSG00000133398
P38484	ENSG00000159128
Q96ME1-2	ENSG00000155034
Q5TKA1	ENSG00000183814
Q8IVM0	ENSG00000152492
Q9P1T7	ENSG00000135272
Q8WWH5	ENSG00000165832
Q9BR39	ENSG00000149596
P51572	ENSG00000185825
A0A087WSW0	ENSG00000187821
Q9Y2E6	ENSG00000110042
J3QQZ0	ENSG00000169718
Q6P1W5	ENSG00000142698
A8MT33	ENSG00000205078
Q86Y22	ENSG00000050767
F8W7C6	ENSG00000147403
P53355	ENSG00000196730
G3V164	ENSG00000152578
Q9UHF0-2	ENSG00000166863
Q16534	ENSG00000108924
Q8WU10	ENSG00000121350
O60308	ENSG00000116198
O43766	ENSG00000121897
Q9HD42	ENSG00000131165
J3KR35	ENSG00000160799
Q9Y2Y4	ENSG00000011590
Q12907	ENSG00000169223
Q9NR50	ENSG00000070785
O43272	ENSG00000100033
P0CG12	ENSG00000286140
Q96J66	ENSG00000121270
Q9NRL3	ENSG00000090372
P53701	ENSG00000004961
H0YDE5	ENSG00000110427
J3QS10	ENSG00000131748
Q9BS26	ENSG00000023318
P32754	ENSG00000158104
Q96BJ3	ENSG00000186063
H0Y7U4	ENSG00000125676
P61764	ENSG00000136854
Q92930	ENSG00000166128
P53814	ENSG00000183963
Q9NY65	ENSG00000183785
Q9H8L6	ENSG00000173269
Q53EU6	ENSG00000138678
Q96HQ2	ENSG00000237190
Q3B8N5	ENSG00000119608
M0R219	ENSG00000143847
Q9BYI3	ENSG00000122591
Q07157	ENSG00000104067
Q86UR5-10	ENSG00000079841
P20591	ENSG00000157601
E7EUV9	ENSG00000163950
C9JWQ8	ENSG00000115271
O96011	ENSG00000131779
Q9UBH6	ENSG00000143324
Q969M7	ENSG00000184182
Q96HH6	ENSG00000139291
Q7RTR0	ENSG00000185792
Q9H0H0	ENSG00000108506
Q92952	ENSG00000105642
P54687-5	ENSG00000060982
Q9UKG9-3	ENSG00000005469
P11182	ENSG00000137992
Q96I13	ENSG00000127220
Q8NCN5	ENSG00000090857
P24557	ENSG00000059377
P07225	ENSG00000184500
K7EMI3	ENSG00000267157
Q14653	ENSG00000126456
Q96M29	ENSG00000153060
C9IYJ2	ENSG00000168297
F8VY35	ENSG00000187109
Q9BVC5	ENSG00000135974
Q15198	ENSG00000104213
J3KTA1	ENSG00000108306
Q96KF7	ENSG00000111850
P42356	ENSG00000241973
Q9H9S5	ENSG00000181027
P50579-2	ENSG00000111142
P63010	ENSG00000006125
D6RIY4	ENSG00000138640
Q4ZIN3	ENSG00000182087
Q9P266	ENSG00000165757
Q2TAA5	ENSG00000253710
Q8N3C7	ENSG00000115295
H0YBX5	ENSG00000102225
Q13523	ENSG00000112739
Q9Y5Y9	ENSG00000185313
Q86WS4	ENSG00000180116
Q8NFV4	ENSG00000106077
P18065	ENSG00000115457
Q8IZX4	ENSG00000122728
G3V1L9	ENSG00000104067
Q9Y2G5	ENSG00000186866
Q9Y3A6-2	ENSG00000117500
O43670	ENSG00000010244
Q9UQL6-2	ENSG00000108840
Q8WV28	ENSG00000095585
P25208	ENSG00000120837
Q8TDF6	ENSG00000171777
Q71RC2	ENSG00000161813
Q96PR1-4	ENSG00000166006
Q8IX01	ENSG00000064607
Q8IVH4	ENSG00000151611
Q9Y592	ENSG00000173588
H0YIY1	ENSG00000092200
Q9P2K8	ENSG00000128829
Q99456	ENSG00000187242
Q7L5D6	ENSG00000239857
B4DM51	ENSG00000153944
J3QQY7	ENSG00000170921
O43147-5	ENSG00000141258
C9JX82	ENSG00000100124
Q99467	ENSG00000134061
Q14181	ENSG00000014138
Q9H0D6	ENSG00000088930
H7C0Q9	ENSG00000008277
Q8NET4	ENSG00000243978
Q96EX2	ENSG00000135119
J3QRV3	ENSG00000213380
Q9NXK8	ENSG00000127452
P54762	ENSG00000154928
Q08357	ENSG00000168575
P17600-2	ENSG00000008056
Q9BUP3-3	ENSG00000109854
K7EKN2	ENSG00000108515
P82933	ENSG00000135972
P48448	ENSG00000132746
Q9BSH3	ENSG00000145029
Q7Z6G8	ENSG00000185046
Q9NTG7	ENSG00000142082
Q8N2E6	ENSG00000160404
Q9P225	ENSG00000183914
Q15760	ENSG00000183150
Q8TDV0	ENSG00000173250
O43678	ENSG00000131495
P48509	ENSG00000177697
Q8TEA1	ENSG00000241058
Q9ULH1	ENSG00000153317
P35568	ENSG00000169047
Q86VF2	ENSG00000163395
A0A087WZP9	ENSG00000203896
Q9Y3Q0	ENSG00000077616
P12838	ENSG00000164821
Q96NL0	ENSG00000105784
H0YKP3	ENSG00000140416
Q12931	ENSG00000126602
P62333	ENSG00000100519
Q71F23	ENSG00000151725
Q00169	ENSG00000174238
O75616	ENSG00000132591
Q8TB05	ENSG00000153443
Q6IE81	ENSG00000077684
Q8NFJ9-3	ENSG00000174483
Q9NV88-2	ENSG00000104299
P01611	ENSG00000278857
C9J101	ENSG00000163596
Q96SB4	ENSG00000096063
Q2KHR3	ENSG00000060749
Q9Y5G7	ENSG00000253731
Q6DKK2	ENSG00000011295
Q16595	ENSG00000165060
Q9NP97	ENSG00000125971
Q68DK2	ENSG00000072121
Q96JY6-5	ENSG00000120913
P20366	ENSG00000006128
Q9BXS5	ENSG00000072958
O43581	ENSG00000011347
Q9NW75	ENSG00000092978
P04070	ENSG00000115718
A8MWE9	ENSG00000215529
Q9P2P6	ENSG00000159433
Q9UK10	ENSG00000256294
K7EPD6	ENSG00000082805
C9JR71	ENSG00000167930
O95319	ENSG00000048740
H0YB11	ENSG00000133943
P33778	ENSG00000276410
Q9H9P8	ENSG00000087299
Q9NZN8	ENSG00000111596
Q9HCD5	ENSG00000124160
C9J5G1	ENSG00000130413
P25705-3	ENSG00000152234
Q9BY11	ENSG00000124507
Q92993	ENSG00000172977
Q16281	ENSG00000144191
O95568	ENSG00000171806
O14874	ENSG00000103507
P35913	ENSG00000133256
A0A087X1E4	ENSG00000132254
Q9Y4K3	ENSG00000175104
Q9UNF0-2	ENSG00000100266
P20073	ENSG00000138279
Q04323	ENSG00000162191
Q6NXS1	ENSG00000231989
Q13561	ENSG00000175203
E5RIV5	ENSG00000168481
Q12809	ENSG00000055118
H3BNT3	ENSG00000130731
Q13508	ENSG00000156219
P27918	ENSG00000126759
Q8WWI5	ENSG00000070214
Q9NUD5	ENSG00000247315
Q96K80	ENSG00000135482
P35346	ENSG00000162009
K4DIA2	ENSG00000177542
Q15061	ENSG00000163811
D6RAA8	ENSG00000153113
P78560	ENSG00000169372
Q99501	ENSG00000185340
M0QY09	ENSG00000130475
H7BZG6	ENSG00000182287
Q9HCI6	ENSG00000168116
O43847	ENSG00000078618
Q9UKX7	ENSG00000093000
O15525	ENSG00000197063
Q5T9L3	ENSG00000116729
P00387	ENSG00000100243
P50502	ENSG00000100380
Q9H7Z7	ENSG00000148334
Q3KQV9	ENSG00000197355
Q92802-3	ENSG00000244754
Q96P16	ENSG00000141425
F5H0M2	ENSG00000008838
Q7Z4Q2	ENSG00000155393
O60826	ENSG00000101997
O75570	ENSG00000120662
Q6NSJ5	ENSG00000171017
Q9BXB5-2	ENSG00000144645
P01624	ENSG00000244437
Q96GG9	ENSG00000043093
Q10713	ENSG00000165688
A0A087X1B1	ENSG00000269335
Q8IVT5	ENSG00000141068
P46734	ENSG00000034152
F5H617	ENSG00000133318
Q9UJ70	ENSG00000124357
Q9P2J9	ENSG00000172840
H7C1Q1	ENSG00000248751
Q9Y2Y6	ENSG00000006042
Q11206	ENSG00000110080
Q86U86	ENSG00000163939
Q9Y6D6	ENSG00000066777
Q9UBF6	ENSG00000114125
Q969M1	ENSG00000158882
Q99719-2	ENSG00000184702
Q96LL9	ENSG00000176410
Q9HCE7	ENSG00000198742
Q8WXG6-2	ENSG00000110514
Q0VDD8	ENSG00000185842
P29536	ENSG00000163431
Q96JJ3	ENSG00000062598
Q8NBN7	ENSG00000160439
P06126	ENSG00000158477
Q14982-3	ENSG00000183715
P27708	ENSG00000084774
Q9H4G0-2	ENSG00000088367
Q9P260-2	ENSG00000134444
Q8TCB7	ENSG00000206562
Q96FV2	ENSG00000141295
Q53H82	ENSG00000147592
P13631	ENSG00000172819
P10301	ENSG00000126458
Q9BQ67	ENSG00000105447
Q7Z3K6	ENSG00000155545
O00139-4	ENSG00000068796
O75783	ENSG00000103269
Q9UBC2	ENSG00000127527
Q96PQ7	ENSG00000109790
Q07960	ENSG00000175220
Q9UJQ7	ENSG00000132631
Q14938	ENSG00000008441
Q9UBB9	ENSG00000100109
Q9NRX3	ENSG00000185633
Q6NSI3	ENSG00000174137
Q9Y217	ENSG00000139505
A6NGH7	ENSG00000203952
Q9H239	ENSG00000271447
Q9BZW7	ENSG00000135951
Q9BRU9	ENSG00000147679
Q9Y490	ENSG00000137076
Q9BXS0	ENSG00000188517
Q8IY67	ENSG00000161847
P0DJ93	ENSG00000224531
Q10472	ENSG00000141429
P52789	ENSG00000159399
P12757	ENSG00000136603
Q96AX2-2	ENSG00000172794
A1A5D9	ENSG00000162069
Q4U2R8	ENSG00000197901
H0YAS8	ENSG00000120885
O15455	ENSG00000164342
O15194	ENSG00000144677
Q9NPH3	ENSG00000196083
O00151	ENSG00000107438
Q8IZJ3	ENSG00000160111
Q9H158	ENSG00000248383
Q96AC1	ENSG00000073712
Q9NSY0	ENSG00000185189
P01892	ENSG00000206503
J3QSF3	ENSG00000215915
Q6UW49	ENSG00000258484
H7C2S9	ENSG00000135297
Q96MH2	ENSG00000168517
Q5JTW2	ENSG00000148019
Q9H944	ENSG00000124641
Q9NZ20	ENSG00000100078
Q8IWE2	ENSG00000197712
P23526	ENSG00000101444
P58417	ENSG00000122584
P14923	ENSG00000173801
C9JZR7	ENSG00000075624
Q9H0R1	ENSG00000053770
Q5RL73	ENSG00000127993
Q03001	ENSG00000151914
P23467	ENSG00000127329
P0CW22	ENSG00000278229
Q9H173	ENSG00000120725
P15531	ENSG00000239672
P31323	ENSG00000005249
O60331	ENSG00000186111
Q9BYV7	ENSG00000197580
P02743	ENSG00000132703
Q5T1B0	ENSG00000162779
P55273	ENSG00000129355
P48547	ENSG00000129159
H0YJK7	ENSG00000171735
H0YN85	ENSG00000103855
Q9H582	ENSG00000122482
Q9BYD1	ENSG00000172172
Q9C0E2	ENSG00000132953
A0A087WX73	ENSG00000170776
O00445	ENSG00000129990
Q13421	ENSG00000102854
Q9BPZ7	ENSG00000119487
Q8N6N3	ENSG00000162642
Q9P2D6	ENSG00000082269
Q03591	ENSG00000244414
Q96AP7	ENSG00000149564
Q8TF17	ENSG00000169247
P14649	ENSG00000196465
P08069	ENSG00000140443
Q13363	ENSG00000159692
Q9H7U1-3	ENSG00000107771
Q68DU9	ENSG00000145332
A0A075B6I1	ENSG00000211639
Q6UN15	ENSG00000145216
P23468-7	ENSG00000153707
P29016	ENSG00000158485
Q4V328	ENSG00000068400
Q3SXM5	ENSG00000103160
O60307	ENSG00000099308
Q6H8Q1	ENSG00000163995
F8WF45	ENSG00000144747
O00515	ENSG00000159166
Q8NDY6	ENSG00000125533
H7BYY4	ENSG00000179988
Q7Z398	ENSG00000251369
Q16706	ENSG00000112893
P20023	ENSG00000117322
Q96IR2	ENSG00000213799
Q7L5A8	ENSG00000103089
Q9NUW8	ENSG00000042088
Q24JP5	ENSG00000006118
E5RIL9	ENSG00000128694
A0A087WUR6	ENSG00000183049
F6VD24	ENSG00000148337
Q9H9S3	ENSG00000065665
A2A3E5	ENSG00000150275
Q9UBC5	ENSG00000166866
C9J840	ENSG00000071054
P56181	ENSG00000160194
Q7L1V2	ENSG00000103111
P11532	ENSG00000198947
Q8IYM2	ENSG00000172123
Q52LA3	ENSG00000205659
E9PSC6	ENSG00000121680
Q9NYL2	ENSG00000091436
Q6NX49	ENSG00000198131
Q9BXI6	ENSG00000099992
P04839	ENSG00000165168
Q6NUK1	ENSG00000085491
H7C1S0	ENSG00000129925
P51531	ENSG00000080503
Q13740-2	ENSG00000170017
K7EKH0	ENSG00000008441
P25067	ENSG00000171812
Q96ID5	ENSG00000117154
Q96LP2	ENSG00000153347
O75955	ENSG00000137312
Q8N239	ENSG00000185915
Q9UI08	ENSG00000196405
Q9HB15	ENSG00000184261
Q8NEG7	ENSG00000205593
Q86UE8-2	ENSG00000146872
Q9UGC7	ENSG00000112031
Q2VYF4	ENSG00000165046
Q8NFB2	ENSG00000269556
Q9Y678	ENSG00000181789
Q8NBI5	ENSG00000134802
Q8WY21	ENSG00000108018
K7EQD6	ENSG00000073969
O76024	ENSG00000109501
P98073	ENSG00000154646
Q5GJ75	ENSG00000183578
Q96RD6	ENSG00000073150
Q96BS2-2	ENSG00000088992
Q8N427	ENSG00000086288
O75151	ENSG00000197724
Q9HC62	ENSG00000163904
Q92797	ENSG00000125755
Q8WVF1	ENSG00000116885
P62993	ENSG00000177885
P16278	ENSG00000170266
Q05195	ENSG00000059728
O75531	ENSG00000175334
Q8IY85	ENSG00000178852
Q6XE24	ENSG00000144642
P54259	ENSG00000111676
O14497	ENSG00000117713
E0CX11	ENSG00000243317
Q8N350	ENSG00000099625
E7EQN9	ENSG00000109452
Q9BWT3	ENSG00000115421
H7BXR3	ENSG00000154556
O60422	ENSG00000205922
Q9BZK7	ENSG00000177565
H0Y626	ENSG00000251537
Q9BR76	ENSG00000172725
Q9Y3L5	ENSG00000123728
O43665	ENSG00000148908
P26640	ENSG00000096171
Q9NYA3	ENSG00000159289
P09132	ENSG00000153037
Q96A09	ENSG00000158246
H0YF29	ENSG00000213563
O14525-2	ENSG00000152092
P28749	ENSG00000080839
P54105	ENSG00000074201
H3BNH8	ENSG00000258864
E9PJY9	ENSG00000143442
Q92503	ENSG00000129657
A0A087WSX3	ENSG00000211949
Q95IE3	ENSG00000196126
Q8TBE3	ENSG00000172568
P20393	ENSG00000126368
F8W835	ENSG00000135406
F5H4R1	ENSG00000085511
K7EKH9	ENSG00000131095
G5E9W6	ENSG00000213213
P35372-10	ENSG00000112038
Q9BXF3	ENSG00000099954
O60575	ENSG00000122711
Q5JUV4	ENSG00000076685
Q5JSP0	ENSG00000127084
Q96RU3	ENSG00000187239
P50990	ENSG00000156261
Q9NWH9	ENSG00000137776
Q5SNT6	ENSG00000099290
A6PVN8	ENSG00000119383
O15037	ENSG00000100441
Q14691	ENSG00000101003
O60909	ENSG00000117411
Q9Y2L8	ENSG00000196652
P05160	ENSG00000143278
Q00587	ENSG00000128283
O14994	ENSG00000185666
Q9UBP9	ENSG00000144366
P42261	ENSG00000155511
Q96AM1	ENSG00000172935
H0Y6T8	ENSG00000099246
P51808	ENSG00000165169
Q9NQ90	ENSG00000047617
Q9BVV6	ENSG00000100578
Q5JUK3	ENSG00000107147
A0A087X1F5	ENSG00000258644
P42694-2	ENSG00000198265
Q969R2	ENSG00000184792
Q9UPV9-2	ENSG00000182606
P12272	ENSG00000087494
H0YKF0	ENSG00000140374
Q13158	ENSG00000168040
Q6S5L8	ENSG00000185634
Q8IYB5	ENSG00000112305
O60716	ENSG00000198561
Q03721	ENSG00000116396
Q16517	ENSG00000053438
Q6IPU0	ENSG00000188312
Q6P2C8	ENSG00000160563
Q9Y672	ENSG00000088035
Q11203-10	ENSG00000126091
P20719	ENSG00000106004
P29353	ENSG00000160691
A0A583	ENSG00000229769
O96014	ENSG00000085741
F8WDG7	ENSG00000112655
Q9GZY6	ENSG00000086730
Q96NJ5	ENSG00000186231
O75489	ENSG00000213619
Q9NV56	ENSG00000101189
Q7Z412	ENSG00000215193
Q8N584	ENSG00000168234
Q9Y608-2	ENSG00000093167
Q5TCQ9	ENSG00000081026
Q9UJA9	ENSG00000112796
Q9BTX1	ENSG00000058804
Q13258	ENSG00000168229
Q7L099	ENSG00000018189
Q9BZ72-2	ENSG00000090975
P19793	ENSG00000186350
Q96P70	ENSG00000198700
Q6YI46	ENSG00000180694
O75964	ENSG00000167283
Q96BY7	ENSG00000066739
P45983-2	ENSG00000107643
Q5JRS4	ENSG00000196266
O60716-11	ENSG00000198561
Q8WV41	ENSG00000173548
O00712	ENSG00000147862
P29377	ENSG00000169906
Q8WXS3-4	ENSG00000164929
O76021	ENSG00000171490
P13612	ENSG00000115232
P43034	ENSG00000007168
Q8TDY2	ENSG00000023287
P09525	ENSG00000196975
P62841	ENSG00000115268
Q5VWQ8	ENSG00000136848
P62847-2	ENSG00000138326
Q8N8S7	ENSG00000154380
Q9HAZ1	ENSG00000113240
C9J6K3	ENSG00000141570
Q7L8L6	ENSG00000215251
G5E9D8	ENSG00000123243
Q14442	ENSG00000100564
O94874	ENSG00000014123
E7EVH7	ENSG00000256500
Q9Y6F9	ENSG00000115596
Q52LJ0-2	ENSG00000171262
B7ZBM5	ENSG00000124222
Q9P265	ENSG00000066084
Q9Y5J7	ENSG00000100575
P04899	ENSG00000114353
Q8WUX9	ENSG00000147457
Q12766	ENSG00000113716
F6UT28	ENSG00000078369
H7C3Y8	ENSG00000130294
Q5U5R9	ENSG00000165338
Q9H3H3	ENSG00000175573
H7C2F1	ENSG00000198089
Q99680	ENSG00000172209
Q5RKV6	ENSG00000223496
A0A075B6K3	ENSG00000211668
A0A087X0X9	ENSG00000157168
H7BXZ5	ENSG00000160145
E9PDX4	ENSG00000266028
I3L467	ENSG00000105176
O43306	ENSG00000174233
Q6PK18	ENSG00000181396
Q8N966	ENSG00000177108
P55769	ENSG00000100138
Q8NG66	ENSG00000114670
Q8N4Q0	ENSG00000180011
Q7RTY8	ENSG00000176040
C9JLR9	ENSG00000188070
Q96PU8-3	ENSG00000112531
Q13568	ENSG00000128604
Q14542	ENSG00000174669
F8WAT8	ENSG00000146966
Q6IPR3	ENSG00000162623
O75044	ENSG00000266028
P19086	ENSG00000128266
P28370	ENSG00000102038
Q9H061	ENSG00000171202
P35612	ENSG00000075340
Q96GM1	ENSG00000105520
Q9Y3E5	ENSG00000141378
P79522	ENSG00000204576
P25940	ENSG00000080573
Q8NI27	ENSG00000125676
Q4G0J3	ENSG00000174720
A6NK89	ENSG00000189431
Q9UJW2	ENSG00000137251
Q8N441	ENSG00000127418
P50570-2	ENSG00000079805
Q96N28	ENSG00000141391
Q04912	ENSG00000164078
P52655	ENSG00000165417
Q6UXX9	ENSG00000147655
A6NDF3	ENSG00000102390
O95297	ENSG00000197965
Q7Z5M5	ENSG00000188869
Q8IZE3	ENSG00000000457
Q9Y343	ENSG00000064652
Q9Y5X4	ENSG00000278570
Q9NZG7	ENSG00000171840
A6NGE4	ENSG00000226372
Q2WGN9	ENSG00000215568
Q9HCN4	ENSG00000198522
Q04727	ENSG00000106829
P04075	ENSG00000149925
Q68CZ1	ENSG00000103494
P14616	ENSG00000027644
Q5BLP8	ENSG00000243449
C9JRZ8	ENSG00000227471
Q7Z4H7	ENSG00000147874
P20674	ENSG00000178741
O14593	ENSG00000064490
O75936	ENSG00000129151
Q02153	ENSG00000061918
P57740	ENSG00000111581
O15151	ENSG00000198625
P07738	ENSG00000172331
Q96FX2	ENSG00000154813
A0A087WZE9	ENSG00000118418
Q9Y6V7	ENSG00000105671
Q0D2I5	ENSG00000010295
P35325	ENSG00000196805
D6RJF3	ENSG00000157881
P20339	ENSG00000144566
Q5I0Y5	ENSG00000253293
D6REA0	ENSG00000059691
Q99755-2	ENSG00000143398
Q9BZS1	ENSG00000049768
Q8WVV5	ENSG00000124508
Q96PE5	ENSG00000197430
P51114-2	ENSG00000114416
Q13573	ENSG00000100603
Q8TCD1	ENSG00000177576
Q16873	ENSG00000213316
Q7RTN6	ENSG00000266173
P14867	ENSG00000022355
Q9H875	ENSG00000128563
Q6IV72	ENSG00000204947
Q5BKY9	ENSG00000234545
Q8NFH5	ENSG00000163002
P48729	ENSG00000113712
Q96SZ5	ENSG00000181915
Q9ULL4	ENSG00000198753
Q8WY36-3	ENSG00000114439
P51674	ENSG00000150625
O95905	ENSG00000122882
O43617	ENSG00000054116
Q86SE5-3	ENSG00000184672
P49458	ENSG00000143742
Q01469	ENSG00000164687
P05062	ENSG00000136872
P09936	ENSG00000154277
F6VJS9	ENSG00000258529
Q9H6S3	ENSG00000177106
P30040	ENSG00000089248
Q6ZSG2-2	ENSG00000188916
Q13257	ENSG00000164109
Q9BX26	ENSG00000196074
P52926	ENSG00000149948
P33908	ENSG00000111885
Q9NZV8	ENSG00000184408
Q9Y3B9	ENSG00000067533
Q8IWE5	ENSG00000116786
E7ERX3	ENSG00000151914
O75052	ENSG00000198929
P04083	ENSG00000135046
H0YC97	ENSG00000134644
Q9UH03	ENSG00000100167
P33176	ENSG00000170759
Q8N1B4	ENSG00000206286
Q99594	ENSG00000007866
Q9UHV5	ENSG00000108352
Q9UNW9	ENSG00000104967
Q14376	ENSG00000117308
O95944	ENSG00000096264
Q9Y426	ENSG00000157617
H7BYI8	ENSG00000176155
